Project ID,State,District,MP Name,Project Name,Category,Cost (INR),Funds Released (INR),Sanction Date,Completion Status,Physical Completion (%),Implementing Agency,Vendor Name,Target Beneficiary,Latitude,Longitude
MPLAD-MA-2025-1012,Maharashtra,Mumbai Suburban,Prakash Patil,Provision of mobile medical health unit vehicle with essential diagnostic tools in Mumbai Suburban,Public Health (Hospitals/Clinics),1800000,1800000,2025-01-22,Completed,100,PWD Pune Division,Dynamic Construction Corp,Scheduled Tribe (ST),18.36117,75.16145
MPLAD-MA-2026-1013,Maharashtra,Thane,Rahul Naik,Construction of concrete storm water drain and sewage channel in Thane,Sanitation & Public Health,3000000,600000,2026-04-05,Sanctioned but not started,0,Nagpur Municipal Corporation,Dynamic Construction Corp,Scheduled Caste (SC),18.61814,74.63588
MPLAD-MA-2024-1014,Maharashtra,Mumbai Suburban,Prakash Patil,Provision of sports equipment and fitness kits for youth community center in Mumbai Suburban,Sports Infrastructure (Playgrounds/Gyms),1000000,1000000,2024-01-16,Completed,100,MHADA,Sai Ram Constructions,General,17.71836,73.02261
MPLAD-MA-2026-1015,Maharashtra,Mumbai Suburban,Prakash Patil,Construction of multipurpose community hall for public social functions in Mumbai Suburban,Community Assets (Halls/Shelters),3900000,1560000,2026-05-26,Sanctioned but not started,0,PWD Pune Division,Elite Infrastructure Group,General,19.84055,72.79538
MPLAD-MA-2024-1016,Maharashtra,Mumbai Suburban,Rahul Naik,Provision of science laboratory equipment and student seating benches in Mumbai Suburban,Education (School infrastructure/Libraries),3900000,3900000,2024-07-16,Completed,100,Nashik Zilla Parishad,Sai Ram Constructions,General,18.19698,74.31506
MPLAD-MA-2024-1017,Maharashtra,Thane,Anil Gawde,Construction of multipurpose community hall for public social functions in Thane,Community Assets (Halls/Shelters),2200000,880000,2024-09-03,In Progress,81,MHADA,Om Shanti Developers,General,18.66176,74.06532
MPLAD-MA-2023-1018,Maharashtra,Pune,Prakash Patil,Construction of additional classrooms in government higher secondary school in Pune,Education (School infrastructure/Libraries),4300000,4300000,2023-08-04,Completed,100,PWD Pune Division,Apex Infrastructure,General,18.54247,73.13543
MPLAD-MA-2026-1019,Maharashtra,Nashik,Sunita Deshmukh,Metalling and resurfacing of approach road to agriculture cooperative market in Nashik,"Roads, Pathways & Bridges",3300000,1980000,2026-01-24,In Progress,80,MHADA,Pioneer Engineering,General,17.57123,72.59079
MPLAD-MA-2023-1020,Maharashtra,Nashik,Sanjay Shinde,Installation of hybrid solar lighting systems in government office compounds in Nashik,Non-conventional Energy (Solar lights),1800000,1800000,2023-09-19,Completed,100,Nashik Zilla Parishad,Vardhan Infrastructure & Sons,General,19.9525,72.59525
MPLAD-MA-2025-1021,Maharashtra,Nashik,Sanjay Shinde,Establishment of digital computer lab with 15 workstations in public school in Nashik,Education (School infrastructure/Libraries),2100000,840000,2025-12-05,In Progress,57,PWD Pune Division,Sai Ram Constructions,General,18.38788,74.92346
MPLAD-MA-2023-1022,Maharashtra,Pune,Anil Gawde,Construction of community toilet block for women and children in Pune,Sanitation & Public Health,3000000,1200000,2023-07-01,In Progress,75,MHADA,Pioneer Engineering,General,18.45692,72.94124
MPLAD-MA-2024-1023,Maharashtra,Nashik,Prakash Patil,Supply and installation of integrated solar-powered LED street lights in dark spots in Nashik,Non-conventional Energy (Solar lights),1100000,1100000,2024-11-25,Completed,100,Nagpur Municipal Corporation,Sai Ram Constructions,General,18.26902,75.17195
MPLAD-MA-2023-1024,Maharashtra,Mumbai Suburban,Anil Gawde,Construction of library building and provision of educational furniture in Mumbai Suburban,Education (School infrastructure/Libraries),2100000,2100000,2023-09-28,Completed,100,Nagpur Municipal Corporation,Siddharth Construction Group,General,18.62659,74.54393
MPLAD-MA-2026-1025,Maharashtra,Pune,Prakash Patil,Renovation and roofing repair of local community cultural assembly center in Pune,Community Assets (Halls/Shelters),4400000,1760000,2026-05-23,Sanctioned but not started,0,MHADA,Apex Infrastructure,General,19.55403,72.50556
MPLAD-MA-2023-1026,Maharashtra,Pune,Sunita Deshmukh,Upgradation of sanitation facilities and public latrines in commercial market in Pune,Sanitation & Public Health,1700000,1700000,2023-08-21,Completed,100,Nashik Zilla Parishad,Apex Infrastructure,Scheduled Caste (SC),18.25767,74.05102
MPLAD-MA-2024-1027,Maharashtra,Mumbai Suburban,Sanjay Shinde,Construction of library building and provision of educational furniture in Mumbai Suburban,Education (School infrastructure/Libraries),2200000,2200000,2024-11-25,Completed,100,Thane District Collectorate,Dynamic Construction Corp,General,19.01507,73.19999
MPLAD-MA-2023-1028,Maharashtra,Thane,Prakash Patil,Renovation and roofing repair of local community cultural assembly center in Thane,Community Assets (Halls/Shelters),3300000,1320000,2023-12-22,In Progress,94,PWD Pune Division,Metro Urban Projects,General,17.7956,75.09978
MPLAD-MA-2025-1029,Maharashtra,Pune,Sunita Deshmukh,Construction of outpatient department (OPD) extension hall in community hospital in Pune,Public Health (Hospitals/Clinics),2900000,2900000,2025-02-09,Completed,100,Thane District Collectorate,Vardhan Infrastructure & Sons,General,18.58682,74.30359
MPLAD-MA-2024-1030,Maharashtra,Mumbai Suburban,Sanjay Shinde,Construction of small pedestrian over-bridge across local stream in Mumbai Suburban,"Roads, Pathways & Bridges",1800000,1800000,2024-01-06,Completed,100,PWD Pune Division,Metro Urban Projects,General,17.46634,73.14527
MPLAD-MA-2024-1031,Maharashtra,Nagpur,Sanjay Shinde,Renovation and upgradation of pediatric ward in district hospital in Nagpur,Public Health (Hospitals/Clinics),3000000,2400000,2024-10-27,In Progress,65,Nagpur Municipal Corporation,Pioneer Engineering,General,19.48804,72.43226
MPLAD-MA-2025-1032,Maharashtra,Thane,Sunita Deshmukh,Interlocking tiles paving and repair of street internal pathways in Thane,"Roads, Pathways & Bridges",3200000,1280000,2025-10-23,In Progress,37,Thane District Collectorate,Siddharth Construction Group,General,19.71179,73.93677
MPLAD-MA-2023-1033,Maharashtra,Thane,Rahul Naik,Interlocking tiles paving and repair of street internal pathways in Thane,"Roads, Pathways & Bridges",1900000,1900000,2023-08-25,Completed,100,MHADA,Balaji Enterprises,General,19.69694,74.68837
MPLAD-MA-2025-1034,Maharashtra,Pune,Sanjay Shinde,Construction of additional classrooms in government higher secondary school in Pune,Education (School infrastructure/Libraries),2600000,1040000,2025-09-10,In Progress,89,Nagpur Municipal Corporation,Dynamic Construction Corp,Scheduled Tribe (ST),19.92862,74.73232
MPLAD-MA-2024-1035,Maharashtra,Nashik,Prakash Patil,Provision of sports equipment and fitness kits for youth community center in Nashik,Sports Infrastructure (Playgrounds/Gyms),1700000,1020000,2024-11-28,In Progress,66,Nagpur Municipal Corporation,A-1 Builders Ltd,Scheduled Tribe (ST),19.57578,72.9673
MPLAD-MA-2024-1036,Maharashtra,Nashik,Sanjay Shinde,Establishment of digital computer lab with 15 workstations in public school in Nashik,Education (School infrastructure/Libraries),1500000,1500000,2024-06-30,Completed,100,Thane District Collectorate,Balaji Enterprises,Scheduled Caste (SC),17.83581,72.50826
MPLAD-MA-2023-1037,Maharashtra,Thane,Sanjay Shinde,Procurement of portable solar lanterns for high-altitude village hamlets in Thane,Non-conventional Energy (Solar lights),1000000,400000,2023-07-27,In Progress,76,MHADA,Om Shanti Developers,General,19.8876,73.0964
MPLAD-MA-2026-1038,Maharashtra,Pune,Rahul Naik,Construction of concrete basketball court with standard seating gallery in Pune,Sports Infrastructure (Playgrounds/Gyms),2300000,920000,2026-04-13,Sanctioned but not started,0,Nashik Zilla Parishad,Global Contracting & Co.,General,17.76417,74.42636
MPLAD-MA-2023-1039,Maharashtra,Pune,Rahul Naik,Construction of library building and provision of educational furniture in Pune,Education (School infrastructure/Libraries),2800000,2800000,2023-10-22,Completed,100,MHADA,Balaji Enterprises,General,18.86947,74.29016
MPLAD-MA-2025-1040,Maharashtra,Pune,Sanjay Shinde,Setting up of solar power backup grid for public health clinic emergency room in Pune,Public Health (Hospitals/Clinics),2500000,2500000,2025-09-02,Completed,100,MHADA,Metro Urban Projects,General,17.38186,73.56134
MPLAD-MA-2023-1041,Maharashtra,Nashik,Sunita Deshmukh,Setting up of solar power backup grid for public health clinic emergency room in Nashik,Public Health (Hospitals/Clinics),3200000,3200000,2023-06-01,Completed,100,MHADA,Sai Ram Constructions,General,17.63055,74.65728
MPLAD-MA-2024-1042,Maharashtra,Mumbai Suburban,Sanjay Shinde,Construction of concrete boundary wall around central public burial ground in Mumbai Suburban,Community Assets (Halls/Shelters),3600000,3600000,2024-08-11,Completed,100,Nashik Zilla Parishad,Elite Infrastructure Group,General,19.38121,75.1795
MPLAD-MA-2025-1043,Maharashtra,Nagpur,Prakash Patil,Development of public sports playground with jogging track and fencing in Nagpur,Sports Infrastructure (Playgrounds/Gyms),1700000,680000,2025-02-25,In Progress,72,Thane District Collectorate,A-1 Builders Ltd,General,17.13864,75.25181
MPLAD-MA-2025-1044,Maharashtra,Mumbai Suburban,Prakash Patil,Procurement of portable solar lanterns for high-altitude village hamlets in Mumbai Suburban,Non-conventional Energy (Solar lights),800000,800000,2025-07-26,Completed,100,Nashik Zilla Parishad,Pioneer Engineering,Scheduled Caste (SC),17.73195,74.26817
MPLAD-MA-2026-1045,Maharashtra,Pune,Prakash Patil,Establishment of digital computer lab with 15 workstations in public school in Pune,Education (School infrastructure/Libraries),4000000,3200000,2026-04-26,In Progress,3,Nashik Zilla Parishad,Global Contracting & Co.,General,19.75241,72.66408
MPLAD-MA-2026-1046,Maharashtra,Nagpur,Anil Gawde,Provision of sports equipment and fitness kits for youth community center in Nagpur,Sports Infrastructure (Playgrounds/Gyms),2900000,1740000,2026-03-30,In Progress,35,MHADA,Dynamic Construction Corp,General,19.23097,73.72402
MPLAD-MA-2025-1047,Maharashtra,Thane,Sunita Deshmukh,Construction of passenger waiting shelter at central district bus stand in Thane,Community Assets (Halls/Shelters),2300000,1380000,2025-11-17,In Progress,75,Thane District Collectorate,Global Contracting & Co.,General,17.81515,73.25913
MPLAD-MA-2024-1048,Maharashtra,Mumbai Suburban,Prakash Patil,Upgradation of village mud road into metalled road with proper drainage in Mumbai Suburban,"Roads, Pathways & Bridges",2700000,2700000,2024-04-08,Completed,100,Nagpur Municipal Corporation,Global Contracting & Co.,General,17.19269,73.5228
MPLAD-MA-2025-1049,Maharashtra,Mumbai Suburban,Anil Gawde,Provision of clean drinking water overhead tank of 10000 liters capacity in Mumbai Suburban,Drinking Water Facility,1800000,1800000,2025-10-08,Completed,100,Nashik Zilla Parishad,Om Shanti Developers,General,19.83819,72.3586
MPLAD-MA-2025-1050,Maharashtra,Mumbai Suburban,Anil Gawde,Supply and installation of RO drinking water purification plant in public spaces in Mumbai Suburban,Drinking Water Facility,900000,900000,2025-08-07,Completed,100,Nashik Zilla Parishad,Metro Urban Projects,General,19.24255,73.9384
MPLAD-MA-2026-1051,Maharashtra,Mumbai Suburban,Sunita Deshmukh,Construction of library building and provision of educational furniture in Mumbai Suburban,Education (School infrastructure/Libraries),2800000,1680000,2026-02-19,In Progress,54,Nashik Zilla Parishad,Vardhan Infrastructure & Sons,Scheduled Tribe (ST),19.03743,73.51295
MPLAD-MA-2023-1052,Maharashtra,Nagpur,Anil Gawde,Extension of water pipeline networks in uncovered slums in Nagpur,Drinking Water Facility,1400000,560000,2023-07-26,In Progress,87,Nagpur Municipal Corporation,Elite Infrastructure Group,Scheduled Caste (SC),17.54519,73.08047
MPLAD-MA-2024-1053,Maharashtra,Thane,Sunita Deshmukh,Construction of concrete basketball court with standard seating gallery in Thane,Sports Infrastructure (Playgrounds/Gyms),2200000,2200000,2024-12-21,Completed,100,Nashik Zilla Parishad,Sai Ram Constructions,Scheduled Tribe (ST),19.50473,73.71092
MPLAD-MA-2023-1054,Maharashtra,Mumbai Suburban,Prakash Patil,Construction of additional classrooms in government higher secondary school in Mumbai Suburban,Education (School infrastructure/Libraries),3900000,1560000,2023-08-22,In Progress,75,Thane District Collectorate,A-1 Builders Ltd,Scheduled Caste (SC),18.86401,73.01563
MPLAD-MA-2024-1055,Maharashtra,Nashik,Prakash Patil,Repair and renovation of boundary wall and roofing of government primary school in Nashik,Education (School infrastructure/Libraries),3700000,3700000,2024-11-06,Completed,100,MHADA,Dynamic Construction Corp,General,18.81768,75.1912
MPLAD-MA-2025-1056,Maharashtra,Pune,Sunita Deshmukh,Upgradation of sanitation facilities and public latrines in commercial market in Pune,Sanitation & Public Health,1000000,1000000,2025-02-28,Completed,100,Thane District Collectorate,Vardhan Infrastructure & Sons,Scheduled Tribe (ST),19.72408,73.42592
MPLAD-MA-2025-1057,Maharashtra,Nagpur,Prakash Patil,Construction of additional classrooms in government higher secondary school in Nagpur,Education (School infrastructure/Libraries),3700000,3700000,2025-02-07,Completed,100,MHADA,Om Shanti Developers,General,19.41658,74.68868
MPLAD-MA-2026-1058,Maharashtra,Mumbai Suburban,Prakash Patil,Setting up of centralized solar micro-grid for rural electrification in Mumbai Suburban,Non-conventional Energy (Solar lights),600000,360000,2026-04-02,In Progress,0,Thane District Collectorate,Elite Infrastructure Group,General,17.31662,75.18236
MPLAD-MA-2024-1059,Maharashtra,Nashik,Sunita Deshmukh,Metalling and resurfacing of approach road to agriculture cooperative market in Nashik,"Roads, Pathways & Bridges",4500000,4500000,2024-12-05,Completed,100,Nashik Zilla Parishad,Metro Urban Projects,General,19.32392,73.69462
MPLAD-MA-2025-1060,Maharashtra,Mumbai Suburban,Sanjay Shinde,Construction of additional classrooms in government higher secondary school in Mumbai Suburban,Education (School infrastructure/Libraries),2300000,1380000,2025-12-10,In Progress,78,Thane District Collectorate,Om Shanti Developers,General,18.831,73.43697
MPLAD-MA-2025-1061,Maharashtra,Pune,Anil Gawde,Interlocking tiles paving and repair of street internal pathways in Pune,"Roads, Pathways & Bridges",2100000,2100000,2025-05-27,Completed,100,Thane District Collectorate,Balaji Enterprises,General,17.83898,74.08847
MPLAD-MA-2025-1062,Maharashtra,Thane,Rahul Naik,Construction of additional classrooms in government higher secondary school in Thane,Education (School infrastructure/Libraries),2200000,2200000,2025-09-10,Completed,100,PWD Pune Division,Metro Urban Projects,General,19.27449,74.37183
MPLAD-MA-2025-1063,Maharashtra,Nashik,Anil Gawde,Construction of concrete storm water drain and sewage channel in Nashik,Sanitation & Public Health,1700000,1360000,2025-09-06,In Progress,49,PWD Pune Division,Om Shanti Developers,Scheduled Caste (SC),18.10706,73.96042
MPLAD-MA-2024-1064,Maharashtra,Thane,Anil Gawde,Construction of concrete basketball court with standard seating gallery in Thane,Sports Infrastructure (Playgrounds/Gyms),2400000,2400000,2024-12-06,Completed,100,MHADA,Sai Ram Constructions,General,17.69161,74.46385
MPLAD-MA-2026-1065,Maharashtra,Thane,Prakash Patil,Upgradation of village mud road into metalled road with proper drainage in Thane,"Roads, Pathways & Bridges",2100000,2100000,2026-02-16,Completed,100,MHADA,Siddharth Construction Group,General,18.76876,74.58062
MPLAD-MA-2025-1066,Maharashtra,Mumbai Suburban,Sanjay Shinde,Construction of library building and provision of educational furniture in Mumbai Suburban,Education (School infrastructure/Libraries),2200000,880000,2025-06-09,In Progress,79,PWD Pune Division,Siddharth Construction Group,General,18.60241,73.12293
MPLAD-MA-2023-1067,Maharashtra,Pune,Rahul Naik,Interlocking tiles paving and repair of street internal pathways in Pune,"Roads, Pathways & Bridges",1800000,1800000,2023-06-26,Completed,100,Thane District Collectorate,Sai Ram Constructions,General,18.40819,73.62141
MPLAD-MA-2023-1068,Maharashtra,Nagpur,Prakash Patil,Construction of multipurpose community hall for public social functions in Nagpur,Community Assets (Halls/Shelters),4100000,4100000,2023-10-12,Completed,100,Thane District Collectorate,Elite Infrastructure Group,Scheduled Caste (SC),17.22225,74.18834
MPLAD-MA-2024-1069,Maharashtra,Pune,Sunita Deshmukh,Procurement and supply of critical care medical equipment for primary health center in Pune,Public Health (Hospitals/Clinics),2200000,2200000,2024-01-29,Completed,100,Nagpur Municipal Corporation,Pioneer Engineering,General,18.81895,74.67222
MPLAD-MA-2025-1070,Maharashtra,Nagpur,Rahul Naik,Construction of concrete boundary wall around central public burial ground in Nagpur,Community Assets (Halls/Shelters),2400000,2400000,2025-10-26,Completed,100,Nashik Zilla Parishad,Om Shanti Developers,Scheduled Tribe (ST),18.86308,74.12889
MPLAD-MA-2024-1071,Maharashtra,Pune,Sunita Deshmukh,Procurement and supply of critical care medical equipment for primary health center in Pune,Public Health (Hospitals/Clinics),2000000,800000,2024-10-04,In Progress,95,Nagpur Municipal Corporation,Dynamic Construction Corp,Scheduled Caste (SC),17.00803,73.65151
MPLAD-MA-2024-1072,Maharashtra,Mumbai Suburban,Anil Gawde,Provision of clean drinking water overhead tank of 10000 liters capacity in Mumbai Suburban,Drinking Water Facility,900000,900000,2024-12-31,Completed,100,Thane District Collectorate,Elite Infrastructure Group,General,17.21354,73.00027
MPLAD-MA-2024-1073,Maharashtra,Thane,Rahul Naik,Supply and installation of integrated solar-powered LED street lights in dark spots in Thane,Non-conventional Energy (Solar lights),1300000,1300000,2024-09-03,Completed,100,Nagpur Municipal Corporation,Dynamic Construction Corp,General,19.72523,74.77989
MPLAD-MA-2025-1074,Maharashtra,Pune,Prakash Patil,Renovation and upgradation of pediatric ward in district hospital in Pune,Public Health (Hospitals/Clinics),3800000,3800000,2025-01-12,Completed,100,Nagpur Municipal Corporation,Apex Infrastructure,Scheduled Caste (SC),18.40609,73.21227
MPLAD-MA-2023-1075,Maharashtra,Nashik,Sanjay Shinde,Construction of concrete boundary wall around central public burial ground in Nashik,Community Assets (Halls/Shelters),1700000,1700000,2023-08-21,Completed,100,MHADA,Siddharth Construction Group,General,17.96696,73.0511
MPLAD-MA-2023-1076,Maharashtra,Pune,Sunita Deshmukh,Supply and installation of RO drinking water purification plant in public spaces in Pune,Drinking Water Facility,1400000,1120000,2023-08-22,In Progress,90,MHADA,Vardhan Infrastructure & Sons,General,18.32669,73.13447
MPLAD-MA-2025-1077,Maharashtra,Mumbai Suburban,Anil Gawde,Procurement of automated solid waste collection vehicles for municipality in Mumbai Suburban,Sanitation & Public Health,2100000,2100000,2025-09-14,Completed,100,Nashik Zilla Parishad,Balaji Enterprises,Scheduled Caste (SC),19.0104,74.8732
MPLAD-MA-2023-1078,Maharashtra,Thane,Anil Gawde,Setting up of solar power backup grid for public health clinic emergency room in Thane,Public Health (Hospitals/Clinics),4100000,4100000,2023-08-15,Completed,100,Nashik Zilla Parishad,Apex Infrastructure,General,17.94355,73.26982
MPLAD-MA-2024-1079,Maharashtra,Nashik,Rahul Naik,Construction of concrete boundary wall around central public burial ground in Nashik,Community Assets (Halls/Shelters),1600000,1600000,2024-06-19,Completed,100,PWD Pune Division,Balaji Enterprises,General,18.8679,73.79548
MPLAD-MA-2025-1080,Maharashtra,Nashik,Prakash Patil,Renovation and upgradation of pediatric ward in district hospital in Nashik,Public Health (Hospitals/Clinics),1900000,1900000,2025-01-10,Completed,100,Nagpur Municipal Corporation,Siddharth Construction Group,General,18.45414,72.38661
MPLAD-MA-2025-1081,Maharashtra,Mumbai Suburban,Sunita Deshmukh,Renovation and upgradation of pediatric ward in district hospital in Mumbai Suburban,Public Health (Hospitals/Clinics),1500000,600000,2025-09-13,In Progress,44,Nagpur Municipal Corporation,Elite Infrastructure Group,Scheduled Caste (SC),19.84118,74.24313
MPLAD-MA-2026-1082,Maharashtra,Nagpur,Anil Gawde,Setting up of solar power backup grid for public health clinic emergency room in Nagpur,Public Health (Hospitals/Clinics),4100000,4100000,2026-02-13,Completed,100,Thane District Collectorate,Global Contracting & Co.,General,18.37036,72.73393
MPLAD-MA-2025-1083,Maharashtra,Nagpur,Rahul Naik,Construction of CC road and brick pavement linking main highway to village in Nagpur,"Roads, Pathways & Bridges",2300000,2300000,2025-09-27,Completed,100,MHADA,Metro Urban Projects,General,17.80152,72.3077
MPLAD-MA-2026-1084,Maharashtra,Thane,Rahul Naik,Construction of passenger waiting shelter at central district bus stand in Thane,Community Assets (Halls/Shelters),2900000,2900000,2026-02-16,Completed,100,MHADA,Balaji Enterprises,General,18.65575,73.93029
MPLAD-MA-2024-1085,Maharashtra,Nashik,Sanjay Shinde,Provision of science laboratory equipment and student seating benches in Nashik,Education (School infrastructure/Libraries),2700000,2700000,2024-09-21,Completed,100,Nagpur Municipal Corporation,A-1 Builders Ltd,General,17.95453,73.71893
MPLAD-MA-2026-1086,Maharashtra,Nashik,Anil Gawde,Construction of multipurpose community hall for public social functions in Nashik,Community Assets (Halls/Shelters),1900000,1140000,2026-03-25,In Progress,6,Nagpur Municipal Corporation,Apex Infrastructure,General,18.57785,73.67078
MPLAD-MA-2025-1087,Maharashtra,Nagpur,Anil Gawde,Procurement of automated solid waste collection vehicles for municipality in Nagpur,Sanitation & Public Health,1800000,1800000,2025-04-24,Completed,100,Nagpur Municipal Corporation,Siddharth Construction Group,General,18.19245,72.54095
MPLAD-MA-2023-1088,Maharashtra,Thane,Rahul Naik,Provision of sports equipment and fitness kits for youth community center in Thane,Sports Infrastructure (Playgrounds/Gyms),2700000,2700000,2023-08-13,Completed,100,Nashik Zilla Parishad,Apex Infrastructure,General,17.70431,74.3532
MPLAD-MA-2023-1089,Maharashtra,Thane,Sunita Deshmukh,Supply and installation of integrated solar-powered LED street lights in dark spots in Thane,Non-conventional Energy (Solar lights),1700000,1700000,2023-12-23,Completed,100,PWD Pune Division,Dynamic Construction Corp,Scheduled Caste (SC),19.082,75.01027
MPLAD-MA-2025-1090,Maharashtra,Pune,Sanjay Shinde,Provision of mobile medical health unit vehicle with essential diagnostic tools in Pune,Public Health (Hospitals/Clinics),2600000,2080000,2025-10-30,In Progress,45,PWD Pune Division,Pioneer Engineering,General,18.69778,74.67756
MPLAD-MA-2024-1091,Maharashtra,Nagpur,Sunita Deshmukh,Procurement of portable solar lanterns for high-altitude village hamlets in Nagpur,Non-conventional Energy (Solar lights),1500000,1500000,2024-10-06,Completed,100,PWD Pune Division,Om Shanti Developers,General,17.42935,73.68345
MPLAD-MA-2024-1092,Maharashtra,Thane,Anil Gawde,Extension of water pipeline networks in uncovered slums in Thane,Drinking Water Facility,900000,540000,2024-04-19,In Progress,88,Thane District Collectorate,Om Shanti Developers,General,17.89746,75.18609
MPLAD-MA-2026-1093,Maharashtra,Thane,Anil Gawde,Repair and renovation of boundary wall and roofing of government primary school in Thane,Education (School infrastructure/Libraries),4200000,2520000,2026-02-14,In Progress,45,Thane District Collectorate,Om Shanti Developers,Scheduled Caste (SC),18.07688,73.18762
MPLAD-MA-2023-1094,Maharashtra,Thane,Prakash Patil,Procurement and supply of critical care medical equipment for primary health center in Thane,Public Health (Hospitals/Clinics),3300000,3300000,2023-09-09,Completed,100,Nashik Zilla Parishad,Siddharth Construction Group,General,18.49018,75.01247
MPLAD-MA-2024-1095,Maharashtra,Thane,Sunita Deshmukh,Supply and installation of open-air gymnasium equipment in public park in Thane,Sports Infrastructure (Playgrounds/Gyms),3000000,3000000,2024-06-24,Completed,100,MHADA,Sai Ram Constructions,Scheduled Caste (SC),19.03329,74.46279
MPLAD-TA-2025-1096,Tamil Nadu,Coimbatore,K. Srinivasan,Setting up of solar power backup grid for public health clinic emergency room in Coimbatore,Public Health (Hospitals/Clinics),1600000,1600000,2025-06-17,Completed,100,Greater Chennai Corporation,Dynamic Construction Corp,General,9.7704,77.88533
MPLAD-TA-2025-1097,Tamil Nadu,Salem,M. K. Anbazhagan,Metalling and resurfacing of approach road to agriculture cooperative market in Salem,"Roads, Pathways & Bridges",4300000,4300000,2025-06-19,Completed,100,Coimbatore Municipal Corporation,Metro Urban Projects,General,12.24046,79.49142
MPLAD-TA-2023-1098,Tamil Nadu,Madurai,P. Selvam,Development of public sports playground with jogging track and fencing in Madurai,Sports Infrastructure (Playgrounds/Gyms),2400000,1920000,2023-11-02,In Progress,74,Madurai City Corporation,Siddharth Construction Group,General,11.52322,78.19223
MPLAD-TA-2024-1099,Tamil Nadu,Trichy,S. Ramachandran,Supply and installation of integrated solar-powered LED street lights in dark spots in Trichy,Non-conventional Energy (Solar lights),900000,900000,2024-02-09,Completed,100,Greater Chennai Corporation,Balaji Enterprises,General,11.51849,79.01702
MPLAD-TA-2023-1100,Tamil Nadu,Trichy,P. Selvam,Provision of modern bio-toilets in public high school premises in Trichy,Sanitation & Public Health,2500000,2500000,2023-07-22,Completed,100,Madurai City Corporation,Metro Urban Projects,General,10.48402,78.83025
MPLAD-TA-2023-1101,Tamil Nadu,Chennai,P. Selvam,Supply and installation of integrated solar-powered LED street lights in dark spots in Chennai,Non-conventional Energy (Solar lights),700000,420000,2023-09-01,In Progress,79,Madurai City Corporation,Apex Infrastructure,General,9.79158,79.66178
